Measure:volume,Left-Lateral-Ventricle,Left-Inf-Lat-Vent,Left-Cerebellum-White-Matter,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,3rd-Ventricle,4th-Ventricle,Brain-Stem,Left-Hippocampus,Left-Amygdala,CSF,Left-Accumbens-area,Left-VentralDC,Left-vessel,Left-choroid-plexus,Right-Lateral-Ventricle,Right-Inf-Lat-Vent,Right-Cerebellum-White-Matter,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC,Right-vessel,Right-choroid-plexus,5th-Ventricle,WM-hypointensities,Left-WM-hypointensities,Right-WM-hypointensities,non-WM-hypointensities,Left-non-WM-hypointensities,Right-non-WM-hypointensities,Optic-Chiasm,CC_Posterior,CC_Mid_Posterior,CC_Central,CC_Mid_Anterior,CC_Anterior,BrainSegVol,BrainSegVolNotVent,BrainSegVolNotVentSurf,lhCortexVol,rhCortexVol,CortexVol,lhCorticalWhiteMatterVol,rhCorticalWhiteMatterVol,CorticalWhiteMatterVol,SubCortGrayVol,TotalGrayVol,SupraTentorialVol,SupraTentorialVolNotVent,SupraTentorialVolNotVentVox,MaskVol,BrainSegVol-to-eTIV,MaskVol-to-eTIV,lhSurfaceHoles,rhSurfaceHoles,SurfaceHoles,EstimatedTotalIntraCranialVol
0,5169,466.1,10504.3,41481.6,5980.9,3410.8,7197.6,1649,875.2,1142.1,16945.6,3613.1,1474,756,1050,2986.7,58.7,1205,4445.9,208.2,9921.5,41079.4,5631.4,3792.8,6941,1679.1,3474.5,1660,855,3073.5,71.3,1726.2,0,2655.4,0,0,16.4,0,0,152.1,655.1,303.8,284.5,255.1,479.9,978724,963221,962897.4203,216466.3902,220656.2785,437122.6687,181617.6415,186002.1102,367619.7516,56187,575684.6687,875016.4203,862066.4203,861210,1458973,0.694226,1.034875,106,99,205,1409805.532
1,13791.6,360.3,17154.8,53830.6,7666.6,3983.3,6391.3,1839.2,1274.3,2107.7,22110.9,3818.3,1700.7,1279.8,697.4,3628.6,194.5,1549.2,16420.2,488.9,17140,54165.4,7362.9,4516.9,6235.7,2012.8,3977.1,2104.4,772.9,4003.1,194,2053.5,0,2243.2,0,0,16.1,0,0,232,1112,372.9,416.3,514.2,908.6,1191008,1151871,1151950.844,223200.179,223457.0954,446657.2743,248837.6592,253929.9103,502767.5695,62066,615892.2743,1047502.844,1012842.844,1011550,1709931,0.702929,1.009195,28,43,71,1694350.73
2,10028.9,722.9,10899.3,44365.5,6852.8,3798,5754.9,1450.4,1246.9,2380.7,18499.4,3971.5,1654.6,1499.5,549.8,3069.5,71.9,1303.9,8685.4,547.8,11150.9,45103.1,6792.6,3971.7,5246.5,1807.5,3801.5,1769.6,491.3,3136.2,93.2,1668,0,1439.4,0,0,25.9,0,0,266.2,948,446.4,481.6,484.8,827.5,1098009,1070033,1069560.751,233338.9374,231390.6389,464729.5763,219814.663,219704.5115,439519.1745,55588,608826.5763,984236.7508,961262.7508,960170,1565427,0.748017,1.066445,53,49,102,1467892.509
3,7883.8,864,16060.7,54419.7,8037.6,3557.3,6709,1513.2,838.7,1642,21444.1,3686.7,1883.3,759.9,698.7,3889.9,128.5,923.6,5510.3,618.1,15385,56467.1,7596.8,3460.4,6578.6,1806.2,4001.6,2228.1,681.8,3875.2,155,1645.1,2.2,2967.1,0,0,20.3,0,0,262,911,399.5,389.3,388.6,781.6,1220049,1200006,1199448.634,248074.1586,252449.1333,500523.2919,244433.7034,250725.6386,495159.3421,61940,673282.2919,1076373.634,1059210.634,1058175,1739192,0.754532,1.075592,95,78,173,1616961.838
4,9994.5,851.9,14042.9,42417.9,7233.5,3819.5,6238.9,2156.9,1803.7,2720.9,22096.6,3553.5,1519.4,979.9,677.5,3893,121.2,1467.1,9748.9,785.5,14724.9,43738,6237.7,4219.6,7460.8,1757,3870.6,1703.6,619.9,4032,197.5,1727.4,0,3025.5,0,0,41.8,0,0,247.5,881.4,339.4,330.9,393.3,931.3,1111168,1081394,1081120.507,203055.6321,203565.352,406620.9841,249906.9499,250840.573,500747.5229,60651,552345.9841,993886.507,969417.507,968346,1592667,0.689719,0.988593,43,43,86,1611044.843
